11957,55554,10
8316,56918,10
8337,55852,10
7825,55391,10
7643,56049,10
8662,55206,10
9043,56359,10
8555,55410,10
7499,56249,10
9421,55580,10
8338,56250,10
8366,56284,10
6845,61158,10
8543,55915,10
8155,56804,10
8329,55322,10
8889,55422,10
8030,55398,10
7280,55462,10
8010,55533,10
7243,55256,10
8239,55179,10
8860,56339,10
6753,55212,10
9176,54741,10
7567,55752,10
8160,56516,10
12939,56411,10
8503,56193,10
7382,55747,10
6941,55445,20
8736,56265,20
12202,55087,20
8921,56275,20
8348,55754,20
7774,55402,20
8202,55444,20
8415,55144,20
7488,55991,20
8407,56242,20
9200,60261,20
8806,55388,20
8215,55816,20
8621,55037,20
8032,56536,20
8394,54995,20
8153,56865,20
8279,55889,20
7599,54911,20
7202,55851,20
7509,56562,20
7972,56297,20
8185,55425,20
8435,55744,20
13202,58011,20
7631,55902,20
7629,56635,20
8468,55399,20
8337,54693,20
8187,55409,20
12623,55129,40
8254,55534,40
8018,54788,40
9482,55877,40
9064,54592,40
7774,55390,40
9202,56041,40
7306,56241,40
7276,55511,40
8483,55878,40
7826,55681,40
7217,56003,40
13215,62075,40
8836,55987,40
12626,56581,40
6703,55062,40
8153,56547,40
7195,54895,40
7275,55709,40
7108,55898,40
7494,56216,40
7823,56256,40
8348,55637,40
12499,55048,40
7666,56289,40
7103,55730,40
7189,56485,40
8073,55555,40
7896,55641,40
8293,55226,40
8467,57268,80
8171,56396,80
7859,56118,80
54686,54683,80
8017,56089,80
8336,56240,80
8849,54945,80
8747,56262,80
7609,55149,80
7197,55535,80
7583,55812,80
8063,56263,80
8184,55259,80
54653,54648,80
8483,55600,80
7420,56418,80
8140,55269,80
8406,55344,80
7505,54690,80
9168,55755,80
8691,56356,80
54610,54605,80
7654,56153,80
8349,55758,80
8044,56408,80
54988,54981,80
8717,55527,80
13471,55892,80
7290,55523,80
7197,55378,80
