15249,147405,10
10293,145685,10
15281,144681,10
9436,147680,10
10540,147978,10
10805,147140,10
14315,147724,10
9356,148167,10
9382,146993,10
4010,147270,10
8566,145518,20
9282,145696,20
9459,146722,20
9059,145231,20
8114,145828,20
9955,147557,20
8940,146852,20
9241,146696,20
9274,146970,20
8929,146541,20
8006,144804,40
62276,145676,40
59816,146151,40
9549,145697,40
9721,146971,40
60681,147714,40
61290,148573,40
8852,146910,40
8368,147381,40
61276,147105,40
59994,147127,40
7736,145905,80
78655,145982,80
110729,145873,80
9123,144979,80
8053,146696,80
60389,147578,80
60307,147967,80
9249,147391,80
60656,147723,80
60308,147557,80
