8153,144647,10
8528,145938,10
9332,146282,10
8468,147557,10
9163,146377,10
10496,147812,10
8358,147258,10
9027,146477,10
9728,146924,10
8777,147534,10
7903,145398,20
40882,145863,20
39087,145686,20
7667,145697,20
8357,146964,20
8185,146874,20
8587,147446,20
8709,147813,20
9194,147248,20
9150,147184,20
8406,145982,40
110716,145697,40
39672,145387,40
40511,145675,40
40058,146417,40
9748,147879,40
38642,146997,40
40127,147514,40
39167,147889,40
8257,147270,40
110939,145552,80
41410,145674,80
110929,145840,80
38947,144837,80
110920,146808,80
8731,147557,80
8745,145998,80
8599,147479,80
8319,147390,80
8033,150062,80
